path,bytes,sha256,review_scope
evidence/backend/gate4/G4-C-02-state-sync-event-pass.png,43732,58fa74feda42406dee02e96216008a1494ff0f47e6128aa27bdfaedf3e3f76f0,gate4 individually reviewed
evidence/backend/gate4/G4-C-03-invalid-message-reject-pass.png,147762,94c866347e50d236de4d3d5e5e827f46c54711478c2f4786fd28588a9bb3e426,gate4 individually reviewed
evidence/backend/gate4/G4-C-04-invalid-summary-restored-state-pass.png,94546,fc85b6ff8b0a089579ad6257d46775c9fc27a3d05c05db08d13b3e332913cd0e,gate4 individually reviewed
evidence/backend/gate4/G4-C-05-reconnect-state-sync-restored-pass.png,122159,58f3d558fde4d0d1b6299d5572f3d860f3f7dd96ead95e8c2a5d90b130842e6c,gate4 individually reviewed
evidence/dashboard/gate1/G1-D-01-dashboard-normal-pass.png,948607,40b09432dcc2574f9b887ffbabf2611d3d7828b58b20abe92fd8d0815b1fecc6,historical preserved; key G3 conflict/BCD reviewed
evidence/dashboard/gate1/G1-D-02-dashboard-warning-pass.png,956926,f4cd720f6829b1c9e280a4ac669c88c80be7604ac842314ba7b5ff31f17c2571,historical preserved; key G3 conflict/BCD reviewed
evidence/dashboard/gate1/G1-D-03-edge-offline-pass.png,945838,78c9840a97636908b7cba49475174a2f4490d7cc3a511312afdda1e3f86c05e3,historical preserved; key G3 conflict/BCD reviewed
evidence/dashboard/gate1/G1-D-04-reconnect-state-sync-pass.png,937519,7097044f104406e1526058415d510e8e693267016803f3bd1733a0a5059ff797,historical preserved; key G3 conflict/BCD reviewed
evidence/dashboard/gate2/G2-D-01-dashboard-normal-real-pt-pass.png,1116649,b3d0808bb5ad9c2c18e6eacfe7bf863ffe9013388f3141dd6e702928e2cc4304,historical preserved; key G3 conflict/BCD reviewed
evidence/dashboard/gate2/G2-D-02-dashboard-warning-fan-on-real-pt-pass.png,1203037,2946cab5031c09d648bc667569619ef5ac9bcb5dbb4d529319aa5f65cabedd5d,historical preserved; key G3 conflict/BCD reviewed
evidence/dashboard/gate4/G4-D-01-control-plane-disconnected-pass.png,2191603,15cc1475f1ab92448267344d17d69cb4e9a5c7fdcbba52077f6dc24230454d72,gate4 individually reviewed
evidence/edge/gate4/G4-B-01-last-policy-before-outage-pass.png,45413,cee6df9e9a43faa2a4b111e3a8ac9e5150445414c2524ec476a51a0942daa29e,gate4 individually reviewed
evidence/edge/gate4/G4-B-02-backend-down-local-auto-on-pass.png,44787,0f62468f31dde969e6150c36f12ca04f2e383dfa58df23f25e079540e35b977a,gate4 individually reviewed
evidence/edge/gate4/G4-B-03-auto-reconnect-state-sync-pass.png,29974,15d9777f8fcf6d755c6e36feb799436f38f2a3f651ffe4f7c6a5187fd52aaeff,gate4 individually reviewed
evidence/gate3_bcd/G3-INT-01-real-edge-online-pass.png,2634935,66eb243e584fb3a7b910553b404fd707f81cf8a997152981a83f24197a4fbf55,historical preserved; key G3 conflict/BCD reviewed
evidence/gate3_bcd/G3-INT-02-policy-e2e-pass.png,53266,efb1393d4b90f4399d690bf5dc67fd850a610eea1255e137cb2f159809fd8a39,historical preserved; key G3 conflict/BCD reviewed
evidence/gate3_bcd/G3-INT-03-command-e2e-pass.png,60070,a185fb730472accd7444457af8a49eaf9858aca6f988216acbb2100523de800d,historical preserved; key G3 conflict/BCD reviewed
evidence/gate3_bcd/G3-INT-04-final-backend-state-pass.png,58758,fc2b9557c5bbfab73b8c9b6bdac5ebdbca76b80a1c6f7585fa488dadca7cf488,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-00-topology-overview.png,77318,ed1bf3a89ead76c7453330e5d665f4d7336537b12d996bb6bedb1d09a5728143,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-00b-pt-version.png,454243,57496bb91e028517916bd59011c19141ad439eef30afefee8722ad2468991249,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-01-swaccess-vlan-brief-pass.png,117836,b2236d6dccbcb25d9bef9771187f230012cf9fb35347a34c5c0a6e7708362894,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-02-swcore-vlan-brief-pass.png,113842,e9e828e346d00de87607b3b0515f213e0aa19a0746a67dad40c56dd1c68a366a,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-03-swaccess-access-ports-pass.png,135244,bf23b065cfa139bc1a2f1ff6504cda973b8a0302613871d8feaa334d6b1acb9c,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-04-swcore-trunk-etherchannel-pass.png,80417,562455cfec9a4e7b2ae3270a9ca098f3a34903b4686e954c785536d8c0ef610b,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-05-swaccess-trunk-etherchannel-pass.png,86591,9ae3aed7f5a5eda55f2fea3e89e7d766ce3eadb28ff4b1c7c03aeb589fcedb31,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-06-swcore-svi-routing-pass.png,237543,d4967a1fd42888ca2703f077ee55a9bb318773afc77dc6e0d6a72fa176c729ea,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-07-dhcp-pass.png,131731,9faaae39aaee25bcbdf7250a2b6f36175d1024dec0ae284d72e0015da35e2356,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-08-swcore-acl-config.png,21039,736cb45a803762a2516df39637fcdd3989523edeb976364f8f6cdc3283e36d36,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-09-n1-crossvlan-ping-pass.png,82787,6e65611205ec46dee5e5894d8ba0436a69cc25815be845e9b63d93945890a40b,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-10-n2-office-to-iot-deny.png,36649,67589df83e4ec9224031c200f25aef3e43a650c832467cc484b537fa44c89c58,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G1-11-n3-mgmt-access-pass.png,65750,1da370e4cdfa7ee4ce4e49baec9ded6b53887b82a5644d2b5b77a2f66715f99a,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-01-topology-check-pass.png,86664,1023cae595b5eab76e341a25ce783c49d11421c9a835034da266c4afe7f2f4ff,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-01b-cdp-neighbors-pass.png,84674,49122c63a0305f05b9725295bbd6a6a4e3c7be2be27d2a5bfd62cd90ca9a8916,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-01c-cdp-routers-pass.png,106535,2d3cb5d789d5e3295b398165c17021a247c7ad12c84171f4d2302b9341a36342,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-01d-host-links-pass.png,166228,e81dcaf84f249128efe3516b138a4394972aae84fa65f0409a3edbc641afe8b3,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-02-branch-vlan-trunk-pass.png,192452,7afbdd6ae57d87505b9ba78daf346f8772ece5c914daabba4b676cd331a32b26,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-03-branch-roas-pass.png,128887,0a49d86ee6ec0f680101ee611258075b07db9a3df967a99e987d694b2eb0cf71,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-04-branch-dhcp-ping-pass.png,657241,d37b0f5376f2f49d46b61adfb20df8fc9add165bf11a9e6aa023e1ed4f34990d,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-05-wan-swcore-underlay-pass.png,158534,c707135af3021e3ba929958516a2ce68bfb8e4c15af6ba84e22206b0f4d5025f,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-05b-wan-rhq-underlay-pass.png,82878,d695ae512b2ce759ad60108be83dc797d95886ee83794d557dd0e6560089fe70,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-05c-wan-risp-underlay-pass.png,22275,7636b8bf617ac712d1813a621e02749519ac379f796a648f17e8ed0e00dd03c2,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-05d-wan-rbranch-underlay-pass.png,30379,685c3f8d608b2909c47d80f1ac27f4c0b7fecd26b62dd8ba06da1b4c4219b605,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-05e-internet-server-underlay-pass.png,74620,16bc15c30c5d52864c99acf348e1c340caa78f43f289dee607c1cdb5aa7024ff,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-06-wan-transit-ping-pass.png,72607,e8a65c01945db33b696c0298c22a97d86fd1f2b2f8e3223aa9ae054a059d2543,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-06b-wan-hq-isp-ping-pass.png,22105,57ca59f695bc6a92fe5d033873f6907ef7a40216c8f6335d1f5a6c1fbf7e18d3,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-06c-wan-isp-branch-ping-pass.png,21496,849f5da05a12ea25a2355b0a2f0ccf1bf82b3ef1575ebfa0f199eb8ecea21afc,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-06d-wan-branch-reverse-ping-pass.png,23944,ffaa67b2fbe2fee6b43bd87e25049b3fdf081bc5015ccc3abf4115a1019d0b4c,historical preserved; key G3 conflict/BCD reviewed
evidence/network/G2-A-07-hq-regression-swcore-pass.png,117210,52973e94297ea52e8ac47f1ade0d71ad1713f4e2500a71149b8035325d798fcc,historical preserved; key G3 conflict/BCD reviewed
